symbol,name,avg_volume_30d,sector
PETR4,Petrobras PN,85000000,Energia
VALE3,Vale ON,72000000,Mineração
ITUB4,Itaú PN,65000000,Financeiro
BBDC4,Bradesco PN,58000000,Financeiro
BBAS3,Banco do Brasil ON,45000000,Financeiro
ABEV3,Ambev ON,42000000,Consumo
B3SA3,B3 ON,38000000,Financeiro
WEGE3,WEG ON,35000000,Industrial
RENT3,Localiza ON,32000000,Consumo
MGLU3,Magazine Luiza ON,30000000,Varejo
VIVT3,Vivo ON,28000000,Telecom
BBSE3,BB Seguridade ON,25000000,Financeiro
SUZB3,Suzano ON,24000000,Papel e Celulose
PRIO3,PetroRio ON,22000000,Energia
RADL3,Raia Drogasil ON,20000000,Saúde
JBSS3,JBS ON,19000000,Consumo
BPAC11,Banco BTG Pactual UNIT,18000000,Financeiro
EQTL3,Equatorial ON,17000000,Utilidade Pública
GGBR4,Gerdau PN,16000000,Siderurgia
BOVA11,iShares IBOV ETF,15000000,ETF
